Metric,Real GDP per Capita,Real GDP,GDP per Capita,GDP,Real Median Household Income,Median Household Income,Inflation,Unemployment Rate,score
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,55175.09375,17156.48028125,50260.875,15639.206250000001,65297.5,50988.75,2.036188052645068,7.479166666666667,0.1167439947610101
std,1209.0877221937528,619.6968934176602,2715.9882387269695,1128.8936317214702,1653.0538698948058,1615.0616686518156,1.2207475358230473,1.7687399074524932,0.06924038362380558
min,53017.0,16269.145,46865.0,14215.651,63350.0,49280.0,-0.355546266299747,4.5,-0.13193125
25%,54386.0,16735.7,48112.5,14692.71575,64062.5,49982.5,1.58287539696292,6.05,0.0922485807860262
50%,55372.5,16952.0775,49279.0,15330.461,65320.0,50265.0,1.8546903538252848,7.766666666666667,0.12825751777739441
75%,55857.5,17532.989,52174.25,16477.3615,65957.5,51662.5,2.928714753281535,9.041666666666664,0.14982270955612612
max,57702.0,18500.031,55869.0,17912.079,68610.0,53660.0,3.839100296651,9.933333333333334,0.2152371428571428
